subject,AF_left,AF_right,ATR_left,ATR_right,CA,CC_1,CC_2,CC_3,CC_4,CC_5,CC_6,CC_7,CC,CG_left,CG_right,CST_left,CST_right,MLF_left,MLF_right,FPT_left,FPT_right,FX_left,FX_right,ICP_left,ICP_right,IFO_left,IFO_right,ILF_left,ILF_right,MCP,OR_left,OR_right,POPT_left,POPT_right,SCP_left,SCP_right,SLF_I_left,SLF_I_right,SLF_II_left,SLF_II_right,SLF_III_left,SLF_III_right,STR_left,STR_right,UF_left,UF_right,T_PREF_left,T_PREF_right,T_PREM_left,T_PREM_right,T_PREC_left,T_PREC_right,T_POSTC_left,T_POSTC_right,T_PAR_left,T_PAR_right,T_OCC_left,T_OCC_right,ST_FO_left,ST_FO_right,ST_PREF_left,ST_PREF_right,ST_PREM_left,ST_PREM_right,ST_PREC_left,ST_PREC_right,ST_POSTC_left,ST_POSTC_right,ST_PAR_left,ST_PAR_right,ST_OCC_left,ST_OCC_right
623844,54638,42855,19851,11139,1330,4456,52120,10012,32355,38325,30402,60247,57728,55184,30578,4809,8093,49989,38814,5888,8687,94,124,6196,5055,10536,10830,5759,2528,52079,14644,7744,8627,12189,4988,8896,15600,9812,2156,15968,7399,16119,1613,5049,3535,4919,66824,52094,4296,470,26541,19256,21650,13751,63292,50117,20260,11632,5436,5203,105556,100422,3361,2249,46724,43966,30338,29174,73649,70641,21573,23179
599469,77067,34375,17660,19776,653,14413,45867,5001,41987,23732,16590,34124,49881,35047,37840,12426,10681,53050,37474,13690,11226,352,73,7852,5764,10032,11442,4605,5285,29862,9363,5664,22666,21297,0,1623,12257,12786,10980,32186,5916,24611,1745,1213,2042,3206,62464,52603,4689,2124,26623,32745,16443,14881,47441,46463,14987,9309,2949,3148,104185,76832,9455,1560,50749,41174,31599,25995,66248,53057,10856,18701
613538,55889,24738,13506,19365,2757,11870,51524,6150,37199,51541,27711,23750,59599,43858,51309,6458,1632,49961,30538,11648,7979,138,385,3543,6364,12524,13019,5060,6593,30109,11043,3595,8191,9554,7100,5981,10754,14599,24115,25718,7609,11180,8795,5129,2908,5024,60981,61603,10043,5515,33454,32112,14965,16084,44535,50410,15645,5639,8572,4652,103873,81542,8508,3612,46418,37731,22950,19433,58786,57470,23862,22489
683256,113676,35086,25232,21048,1242,10446,45264,5268,35592,19242,27622,7334,45194,53453,55468,6015,3307,56438,26187,7528,4872,184,161,5215,6954,10763,7785,4495,2957,90825,6177,4443,8793,10450,6643,5308,21953,30863,32522,50596,5323,13242,2699,1618,3596,10590,81398,60227,5694,7113,41422,30928,27523,11877,72811,47477,12543,7273,9130,9851,92760,85776,6861,5141,58907,52265,45984,35040,97560,97349,18936,12944
677968,93444,57457,16642,17153,1230,15564,50926,3708,16104,31525,15489,19299,43794,65657,44345,4055,5118,45158,46699,6270,4957,320,269,4241,4763,18631,18216,5462,11786,45124,11264,9690,3426,5949,8592,6066,9303,12739,37105,41514,1608,9555,3008,2635,2970,11785,66445,62274,5195,4295,34364,34981,12807,15371,49755,53125,20377,17625,6678,6866,84073,79002,3348,3879,50694,43498,15134,23321,50130,53213,20903,22669
665254,68676,61621,17499,10943,281,12454,54555,16863,30211,22110,26177,13428,52950,80271,49663,4596,6966,60349,47234,7148,11074,128,37,3841,4116,18173,16968,6641,1613,68214,11594,11015,14652,16300,2796,4796,7327,21275,14607,50218,2476,17473,1690,4018,5647,2501,56568,40687,2489,876,21019,26587,18571,12517,70484,45960,18685,16225,6381,3099,92447,81545,1858,150,22929,41166,21085,33654,67698,77357,23710,21817
645551,49155,19049,25612,40924,102,19862,60459,2736,27127,29675,23415,18169,53503,41783,37513,4223,2354,42575,29747,9575,8668,198,126,12132,6875,5028,5194,5910,2580,39056,5623,2232,11720,11332,6452,4419,20025,21784,6468,21589,24790,14849,1405,1373,4740,8165,71195,92733,7566,2293,42924,25560,20048,14224,58683,51882,7782,3435,10021,8079,92072,85873,5256,3565,40574,31570,26866,16127,54677,50253,5092,5578
672756,24788,27262,26943,23769,421,9427,54090,5304,26818,28567,35076,16333,56545,43817,36895,5780,7500,70585,42704,9854,8173,299,290,2310,1170,20544,18079,4781,2620,51554,8108,2798,10096,15480,3538,4141,16645,17698,10960,14593,10935,11011,417,3334,3678,8232,83024,76546,8120,11182,29176,30366,27050,17499,88711,70229,12199,4594,5032,5571,68849,88899,3915,5479,30593,29109,30633,25165,80163,66162,15121,12328
654754,75709,28462,28712,7902,23,8660,43567,8404,41472,26394,37020,17583,50274,36916,27837,3662,7035,51281,21462,6106,8684,98,40,4129,4137,13527,8316,9369,1867,60811,7161,6371,11150,6834,3353,3475,14356,14803,14546,17350,15246,10884,2619,6744,3181,5183,76302,41064,5157,1688,46332,19412,18545,9594,66899,30117,11989,9277,3311,2897,94351,71537,5360,1890,39790,35160,18841,24129,64059,61761,18041,18417
620434,66390,16311,20075,12566,1399,8374,42091,5407,14117,37139,29795,5736,41308,64621,60278,3166,7328,42172,34681,7372,10388,186,285,3832,5457,9678,11006,2994,2955,62055,6443,4740,8485,8758,7503,4910,15383,15080,30459,24208,3806,13516,2239,2266,3240,5282,64501,42102,3116,1863,34763,26379,31019,11772,61557,36228,10599,7051,6205,5981,83233,60719,2527,2608,32165,30030,23734,25592,53440,58463,9404,17609
638049,66176,38199,14984,13418,1266,14730,60903,9500,33958,32301,24978,32115,57868,42627,42597,12678,9287,65934,28474,17172,17586,251,725,6865,6679,5814,16506,6997,2861,46675,11278,8819,10460,11494,9796,6096,7239,16125,7605,22452,10127,11509,1501,3918,1608,9243,79530,62076,5606,6253,50597,15088,17430,4892,55518,32314,15520,11889,5778,5856,111977,104502,5135,3409,43221,45172,22348,23180,63187,70798,21579,26272
